Index,Link,Platform,Incentive,High-level category,Dark UX Pattern,Secondary possibility,Description,Count,Location
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get FREE shipping!".,1,Cart
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,12,Checkout page
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
21,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Sneaking,Information Without Context,,Banner claiming "Customer service team is here to help" but the website does not have any contact information.,1,Home page
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,1,"Product page,Shop-All page"
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,2,"Product page,Shop-All page"
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/1RbQ5WaX8VD9HlUi0ig5XA/E-commerce-website-design,Figma Make,User,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
22,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Information Without Context,,Trust banner claiming "24/7 Support" but the website does not have any contact informations.,1,Home page
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,12,Footer
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,1,"Product page,Shop-All page"
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,4,"Product page,Shop-All page"
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Forced Action,Nagging,,When having checkout under $100 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/TQbKhU3I9ySRyRCUecejW3/E-commerce-website-creation,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
23,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,2,"Product page,Shop-All page"
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://www.figma.com/make/LL8RlCnzWcR8JLCjcSN1qs/E-commerce-website-design,Figma Make,User,Sneaking,Reference Pricing,"Drip Pricing, Hidden Costs, or Partitioned Pricing",Price transparency notices on shop and product pages claim that all prices include applicable tax but tax is also added during checkout.,1,"Shop-All page,Product page,Checkout page"
24,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Inactive links in footer.,12,Footer
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Social Proof,Activity Messages,Label displays "50K+ Happy Customers" but there is no proof to it.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Sneaking,Hiding Information,,Label displays "10K+ Products" but the website contains only 12 products.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Limited Time Messages,,Banner saying "Flash Sale Ends Soon".,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Countdown Timers,,Banner displays non-functioning countdown timer for sale.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Endorsements and Testimonials,,Testimonials by 3 made up buyers.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "15% off your first order" but does not apply it when ordering.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller badge on product that is not reflected by any number of sold units.,1,"Product page,Shop-All page"
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Discounted products displays savings badge. The prominence of the savings is on par with the actual price.,3,"Shop-All page,Product page"
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,A button in section "New Arrivals" redirects to Shop-All page.,1,Home page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Social Proof,,Reviews on products representing made up users.,1,Product page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,6,Product page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,Gamification,When having checkout under $100 a progress bar displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,12,Checkout page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
,https://www.figma.com/make/kCgijnlet28hhcouRuwAH3/E-commerce-website-design,Figma Make,Business,Social Engineering,Urgency,,Multiple badges and page sections on home page advertising sale.,4,Home page
25,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Inactive links in footer.,12,Footer
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Social Engineering,Endorsements and Testimonials,,A testimonial by 3 made up buyers.,1,Home page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,Category claims large number of items but contains only a few in reality.,7,"Home page,Shop-All page"
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Social Engineering,Limited Time Messages,,Banner saying "Flash Sale Ends Soon".,1,Home page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Social Engineering,Countdown Timers,,Banner displays non-functioning countdown timer for sale.,1,Home page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,Label claims 20% off on electronics with code TECH20 but it does not work during checkout.,1,Home page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Interface Interference,Bundling,,Frequently bought together bundle contains a discount but distracts from actual product prices.,1,Product page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Sneaking,Reference Pricing,,Bundled products are presented as discounted but the discount does not apply in cart.,1,Cart
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,6,Product page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Social Engineering,Low Stock,,Product displays low stock label with the claim being false.,1,"Product page,Shop-All page"
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,Gamification,When having checkout under $100 a progress bar displays in the order summary: "Add $xx.xx more for FREE SHIPPING!".,1,Cart
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,12,Checkout page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Forced Action,Dead Ends,,Learn More button on home page is inactive.,1,Home page
,https://www.figma.com/make/pvwutImzc46zzgnX79U0GN/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,3,Shop-All page
26,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Inactive links in footer.,12,Footer
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Sneaking,Information Without Context,,Trust banner claiming "24/7 Support" but the website does not have any contact information.,1,Home page
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Social Engineering,Limited Time Messages,,Banner saying "Limited Time Offer!" with non functioning timer.,1,"Home page,Product page"
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,5,"Shop-All page,Product page"
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,4,"Product page,Shop-All page"
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,6,Product page
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,Gamification,When having checkout under $50 a progress bar displays in the order summary: "Add $xx.xx more for FREE shipping!".,1,Cart
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,1,Checkout page
,https://www.figma.com/make/r7z4aIYAdOZeo6JEZPAMnp/E-commerce-website-design,Figma Make,Business,Social Engineering,Social Proof,,Reviews on products representing made up users.,1,Product page
27,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Information Without Context,,Trust banner claiming "24/7 Support" but the website does not have any contact information.,1,Home page
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,10,Footer
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,1,Shop-All page
,https://www.figma.com/make/vPjkV0bs1rULM1tMvBggpL/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,1,"Product page,Shop-All page"
28,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,4,"Product page,Shop-All page"
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,1,Checkout page
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Sneaking,Information Without Context,,Section claims "We ... share our supply chain" but the website does not have any information on it.,1,Home page
,https://www.figma.com/make/SlxHb1TXOu0G0ro2BtPDoj/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
29,https://www.figma.com/make/fFnEcBerGBlMdYghfOkgJS/E-commerce-website-design,Figma Make,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/fFnEcBerGBlMdYghfOkgJS/E-commerce-website-design,Figma Make,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
,https://www.figma.com/make/fFnEcBerGBlMdYghfOkgJS/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://www.figma.com/make/fFnEcBerGBlMdYghfOkgJS/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://www.figma.com/make/fFnEcBerGBlMdYghfOkgJS/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
30,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,9,Footer
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/IHp9o5hdhLCNIjCx9Mu6ma/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
31,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Inactive links in footer.,10,Footer
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,Category claims large number of items but contains only a few in reality.,6,Home page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,1,Shop-All page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,3,"Shop-All page,Product page"
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,11,Checkout page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Track Order button link is inactive.,1,Checkout page
,https://www.figma.com/make/N1GtRDQdYgsCjtFeLyPZut/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,A button in section "View Sale" redirects to Shop-All page.,1,Home page
32,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Obstruction,Dead Ends,,Inactive links in footer.,7,Footer
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,4,Product page
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://www.figma.com/make/3FuqceIY8vavLosaZkHTIU/E-commerce-website-design,Figma Make,User,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
33,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,6,Footer
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,4,Product page
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
